pregunta;opcion_a;opcion_b;opcion_c;opcion_d;correcta
No forma parte del objeto de la Ley de Salud de Andalucía, expresado en su primer Artículo…;La regulación general de las actuaciones, que permitan hacer efectivo el derecho a la protección de la salud.;La definición, el respeto y el cumplimiento de los derechos y obligaciones de los ciudadanos respecto de los servicios sanitarios en Andalucía.;La ordenación general de las actividades sanitarias de las entidades públicas y privadas en Andalucía.;La planificación y gestión de los recursos sanitarios para la consecución de altos niveles de calidad asistencial.;d
El Artículo 47 de la Ley de Salud de Andalucía determina que el Sistema Sanitario Público de Andalucía se organiza en demarcaciones territoriales denominadas…;Zonas Básicas de Salud;Áreas Hospitalarias;Áreas de Salud;Áreas de Gestión Sanitaria;c
Dentro de la organización territorial de los servicios sanitarios que establece la Ley de Salud de Andalucía (Ley 2/1998, de 15 de junio), y con la finalidad de alcanzar la mayor eficacia en la organización y funcionamiento del Sistema Sanitario Público de Andalucía (SSPA), cada Área de Salud se divide territorialmente en:;Zonas Básicas de Salud;Distritos Sanitarios;Centros de Salud;Áreas de Gestión Sanitaria;a
La participación del usuario en los servicios y actividades sanitarias, viene establecida en la Ley 2/1998, de Salud de Andalucía como:;Un derecho;Un deber;Un derecho y un deber al mismo tiempo;No se menciona ni como derecho ni como deber en esta Ley;a
El Sistema Nacional de Salud (SNS) es el conjunto coordinado de los Servicios de Salud de la Administración del Estado y los Servicios de Salud de las Comunidades Autónomas que integra todas las funciones y prestaciones sanitarias que, de acuerdo con la ley, son responsabilidad de los poderes públicos. ¿Cuál de las siguientes afirmaciones es INCORRECTA?;El proceso de transferencia de la asistencia sanitaria gestionada por el Instituto Nacional de la Salud (INSALUD) se inició en 1981 y ha culminado en el año 2002.;A día de hoy, la Administración Central del Estado ha transferido toda la asistencia sanitaria a las 17 CC.AA. y a las Ciudades Autónomas de Ceuta y Melilla.;Las CC.AA. han asumido las funciones y servicios, los bienes, derechos y obligaciones relativos a la planificación sanitaria, salud pública y asistencia sanitaria, el personal y los créditos presupuestarios adscritos.;Los principios relacionados con la coordinación sanitaria a nivel estatal están recogidos en la Ley 14/1986 de 25 de abril, General de Sanidad, que además concreta los instrumentos de colaboración y crea como órgano de coordinación el Consejo Interterritorial del Sistema Nacional de Salud.;b
¿Qué está previsto en la Ley General de Sanidad (artículo 15), para atender a aquellos pacientes o usuarios del Sistema Nacional de Salud (SNS) una vez superadas las posibilidades de diagnóstico y tratamiento de los servicios especializados de la Comunidad Autónoma donde residan?;El acceso a servicios de referencia, acreditados por el Ministerio de Sanidad y Consumo.;La derivación a centros privados concertados con el SNS que dispongan de la tecnología diagnóstica o tratamiento que requieran.;La derivación a centros sanitarios privados ubicados en su propia Comunidad Autónoma, con el correspondiente reembolso de gastos.;La derivación, previa aceptación, a centros sanitarios de referencia extranjeros.;a
El Sistema Sanitario Público de Andalucía (SSPA) integra todas las funciones y prestaciones sanitarias que son responsabilidad de los poderes públicos para garantizar la efectividad del derecho a la protección de la salud, y según se establece en el artículo 45 de la Ley de Salud de Andalucía, está compuesto por (señale la respuesta INCORRECTA):;Los centros, servicios y establecimientos integrados en el Instituto de Salud de Andalucía o adscritos al mismo.;Los centros, servicios y establecimientos sanitarios de organismos, empresas públicas o cualesquiera otras entidades de naturaleza o titularidad pública admitidas en derecho, adscritas a la Administración Sanitaria de la Junta de Andalucía.;Los centros, servicios y establecimientos sanitarios públicos integrados en el Servicio Andaluz de Salud o adscritos al mismo.;Los centros, servicios y establecimientos sanitarios que se adscriban al SSPA en virtud de un concierto.;d
El Estatuto Marco del personal estatutario de los servicios de salud (Ley 55/2003), señala en su artículo 10, como principal instrumento de configuración y cohesión del Sistema Nacional de Salud (SNS), y que conocerá, debatirá y, en su caso, emitirá recomendaciones sobre los criterios para la coordinación de la política de recursos humanos del SNS:;A la Comisión de Recursos Humanos del Sistema Nacional de Salud.;Al Consejo Interterritorial del Sistema Nacional de Salud.;Al Ministerio de Sanidad.;Al Foro Marco para el Diálogo Social.;b
Según se establece en el Capítulo IV (Intervención pública en materia de salud) de la Ley de Salud de Andalucía, ¿cuál de los siguientes se considera un órgano con competencia sanitaria en el ámbito de Andalucía?;El Consejo de Gobierno de la Junta de Andalucía.;El Consejero de Salud y demás órganos de la Consejería de Salud.;Los Alcaldes, de acuerdo con la legislación del régimen local y lo establecido en la Ley de Salud de Andalucía.;Todos los anteriores son órganos con competencia sanitaria en el ámbito de Andalucía.;d
Según el Decreto 197/2007, por el que se regula la estructura, organización y funcionamiento de los servicios de atención primaria de salud en el ámbito del SAS, el marco territorial para la prestación de la atención primaria de salud se denomina:;Distrito de atención primaria;Zona Básica de Salud;Área de Salud;Dispositivo de Apoyo;b
