pregunta;opcion_a;opcion_b;opcion_c;opcion_d;correcta;fuente
¿En qué fecha fue aprobada en referéndum la Constitución Española de 1978?;20 de noviembre de 1975;15 de junio de 1977;6 de diciembre de 1978;29 de diciembre de 1978;C;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
¿En qué fecha se publicó en el BOE la Constitución Española de 1978, entrando en vigor?;27 de diciembre de 1978;29 de diciembre de 1978;1 de enero de 1979;6 de diciembre de 1978;B;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
¿Cuál de las siguientes afirmaciones sobre el periodo franquista es correcta según el Tema 1?;La dictadura se extendió aproximadamente desde 1939 a 1975;Terminó con elecciones democráticas en 1973;Finalizó con la publicación de la Constitución en 1979;Duró de 1945 a 1978;A;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
Las primeras elecciones democráticas tras la dictadura franquista se celebraron el:;20 de noviembre de 1975;15 de junio de 1977;6 de diciembre de 1978;29 de diciembre de 1978;B;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
Según el Tema 1 de Escapa, la Constitución de 1978 es fruto principalmente de:;La iniciativa exclusiva del Rey;El consenso político entre las principales fuerzas democráticas;Un referéndum de iniciativa popular sin intervención parlamentaria;La imposición de un solo partido;B;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
¿Qué establece literalmente el artículo 1.1 de la Constitución Española?;España se constituye en un Estado federal y democrático de Derecho;España se constituye en un Estado social y democrático de Derecho;España se constituye en una monarquía absoluta;España se constituye en un Estado social y confederal;B;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
¿Cuáles son los valores superiores del ordenamiento jurídico según el art. 1.1 CE?;Libertad, justicia, igualdad y pluralismo político;Libertad, igualdad, seguridad y solidaridad;Justicia, seguridad, unidad y democracia;Libertad, igualdad, seguridad y progreso;A;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
En el ámbito sanitario, la libertad como valor superior se concreta especialmente en:;La existencia de copagos obligatorios;La autonomía del paciente y el consentimiento informado;La prioridad de la gestión privada sobre la pública;La supresión del derecho a rechazar tratamientos;B;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
La justicia como valor superior se relaciona en sanidad, según el Tema 1, con:;Acceso universal y equidad en la distribución de recursos;Reducción del número de profesionales;Supresión de la atención primaria;Priorización de la sanidad privada;A;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
La igualdad, como valor superior, implica en el ámbito del SAS:;Priorizar la atención según el nivel de renta;Excluir a los extranjeros del sistema público;Garantizar la igualdad de acceso y la no discriminación;Limitar la asistencia a trabajadores en activo;C;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
El pluralismo político, aplicado a la sanidad, se refleja especialmente en:;La prohibición de la objeción de conciencia;La participación ciudadana en consejos de salud y el respeto a las convicciones personales;La obligación de seguir una única ideología sanitaria;La eliminación de la libertad ideológica del paciente;B;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
Cuando se afirma que España es un Estado de Derecho, se está subrayando principalmente:;La supremacía del poder ejecutivo;El sometimiento del poder público a la ley y la seguridad jurídica;La inexistencia de control judicial;La primacía de la costumbre sobre la ley;B;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
El principio de Estado social se conecta, según el Tema 1, con:;La ausencia de intervención estatal en sanidad;La intervención del Estado para garantizar derechos sociales como sanidad y educación;La privatización completa de los servicios públicos;La limitación de la sanidad al ámbito militar;B;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
La forma política del Estado español, conforme al artículo 1.3 CE, es:;República parlamentaria;Monarquía parlamentaria;Monarquía absoluta;República presidencialista;B;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
En la monarquía parlamentaria española, el Rey:;Gobierna y dirige la política interior;Ejerce funciones principalmente simbólicas y de representación;Posee el poder legislativo exclusivo;Dicta leyes sin necesidad de refrendo;B;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
El artículo 2 CE proclama:;La libre confederación de las Comunidades Autónomas;La indisoluble unidad de la Nación española y el derecho a la autonomía de nacionalidades y regiones;La independencia absoluta de las Comunidades Autónomas;La soberanía compartida con la Unión Europea;B;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
El Título I de la Constitución (arts. 10 a 55) regula:;La Corona;Los derechos y deberes fundamentales;La organización territorial del Estado;La Unión Europea;B;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
Los derechos fundamentales y libertades públicas (máxima protección) se sitúan en los artículos:;10 a 14 CE;15 a 29 CE;30 a 38 CE;39 a 52 CE;B;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
¿En qué artículo se recoge el derecho a la vida y a la integridad física y moral, con la abolición de la pena de muerte?;Art. 14 CE;Art. 15 CE;Art. 16 CE;Art. 20 CE;B;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
¿En qué artículo se reconoce el secreto profesional, especialmente importante para la confidencialidad en sanidad?;Art. 18 CE;Art. 19 CE;Art. 20 CE;Art. 24 CE;C;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
Según el Tema 1, el plazo máximo general de la detención preventiva que establece el Art. 17.2 CE es de:;24 horas;48 horas;72 horas;7 días;C;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
Los principios rectores de la política social y económica (entre ellos el art. 43 CE) se ubican en los artículos:;14 a 29 CE;30 a 38 CE;39 a 52 CE;53 a 55 CE;C;https://escapa.es/tema-1-la-constitucion-espanola-de-1978-valores-superiores-y-principios-inspiradores-estudio-particular-de-los-derechos-y-deberes-fundamentales-y-de-la-regulacion-constitucional-de-la-jefatura-del
