pregunta;opcion_a;opcion_b;opcion_c;opcion_d;correcta
Según el artículo 38 de la Ley 14/1986, ¿cuál de las siguientes materias es competencia exclusiva del Estado?;La gestión de la atención primaria en las ciudades autónomas.;La ordenación de los consejos de salud de zona.;La sanidad exterior.;El control sanitario de la distribución de alimentos a nivel local.;c
El artículo 42 de la Ley General de Sanidad asigna a los Ayuntamientos el control sanitario de, entre otros:;La ordenación farmacéutica y de los medicamentos de uso humano.;Los cementerios y policía sanitaria mortuoria.;Los centros hospitalarios de tercer nivel.;La sanidad exterior y de fronteras.;b
En relación a los derechos previstos en la Ley de Salud de Andalucía, el derecho al acompañamiento del paciente se configura de forma que:;El paciente podrá estar acompañado siempre, sin posibilidad de limitación alguna por parte del centro.;Podrá estar acompañado por un familiar o persona de su confianza, siempre que las circunstancias clínicas lo permitan.;Es un derecho exclusivo de los menores de edad y las mujeres embarazadas.;El centro sanitario determinará en todo caso, y a su criterio, si permite el acompañamiento sin mediar justificación clínica.;b
La Ley de Salud de Andalucía establece el Plan Andaluz de Salud. ¿A qué órgano corresponde elaborar el proyecto de dicho Plan?;Al Consejo de Gobierno de la Junta de Andalucía.;A la Consejería con competencias en materia de salud.;Al Servicio Andaluz de Salud.;Al Consejo Andaluz de Salud.;b
Una vez que el Plan Andaluz de Salud ha sido aprobado por el órgano competente, ¿cuál es el siguiente paso institucional exigido por la Ley de Salud de Andalucía?;Debe ser ratificado por el Ministerio de Sanidad y Consumo.;Debe someterse a referéndum entre los profesionales del Sistema Sanitario Público.;Debe ser remitido al Parlamento de Andalucía para su conocimiento y estudio.;Debe validarse por el Consejo Interterritorial del SNS.;c
El Contrato Programa en el ámbito del Sistema Sanitario Público de Andalucía se concibe como el instrumento marco que suscriben:;El Ministerio de Sanidad y el Consejo de Gobierno de la Junta de Andalucía.;Las Áreas de Gestión Sanitaria y los Distritos de Atención Primaria.;La Consejería competente en materia de salud y el Servicio Andaluz de Salud.;El Servicio Andaluz de Salud y las empresas privadas proveedoras de material sanitario.;c
De conformidad con el artículo 43 de la Ley de Salud de Andalucía, el Sistema Sanitario Público de Andalucía se define como:;Una entidad privada financiada con fondos públicos autonómicos.;El conjunto de recursos, medios y actuaciones de las Administraciones Sanitarias públicas de la Comunidad Autónoma o vinculadas a las mismas.;El conjunto exclusivo de centros y servicios pertenecientes únicamente a la Consejería de Salud.;La suma de los hospitales generales básicos de la Comunidad Autónoma y los centros de especialidades periféricos.;b
Según el Decreto 197/2007 que regula los servicios de Atención Primaria en el SAS, la población de una Zona Básica de Salud:;Debe estar siempre por debajo de los 5.000 habitantes.;Oscilará con carácter general entre 5.000 y 25.000 habitantes.;Se establecerá entre 100.000 y 150.000 habitantes obligatoriamente.;No tiene límites poblacionales, atendiéndose únicamente a criterios geográficos y de isocronas.;b
La participación de las Corporaciones Locales en el Consejo de Dirección del Área de Salud, según el artículo 58 de la Ley 14/1986, será:;No inferior al 40 por 100.;De un máximo del 30 por 100.;Exactamente del 50 por 100 para mantener la paridad.;Del 100 por 100 en las Áreas de Salud rurales.;a
Según la Ley General de Sanidad, la figura del Gerente de Área de Salud, como órgano de gestión de la misma, es nombrado y cesado por:;El Consejo de Salud del Área por mayoría simple.;La Dirección de la respectiva Comunidad Autónoma.;El Ministerio competente en materia de sanidad.;El conjunto de Directores de Centros de Salud de dicha Área.;b
En relación a la tarjeta sanitaria contemplada en la Ley 2/1998, señale la afirmación correcta:;Se expide por familia, incluyendo al titular y sus beneficiarios en un solo documento.;Es un documento que identifica de forma individualizada y exclusiva a cada ciudadano ante el SSPA.;Carece de validez para el acceso a las prestaciones fuera del municipio de residencia.;Es de expedición voluntaria, y el paciente asume el coste de su emisión si no la solicita en plazo.;b
Según la Ley de Salud de Andalucía, el acceso a la historia clínica es un derecho del paciente. No obstante, este derecho está sujeto a reservas, protegiendo expresamente:;El derecho al honor de los acompañantes.;Las anotaciones subjetivas de los profesionales que participan en su elaboración.;El coste económico estimado de la asistencia sanitaria prestada.;Los diagnósticos definitivos de carácter grave que el profesional considere no comunicar.;b
¿Cómo define el artículo 65 de la Ley General de Sanidad a los hospitales?;Como estructuras exclusivas para la docencia universitaria especializada.;Como establecimientos orientados únicamente al ingreso prolongado de pacientes geriátricos.;Como centros de atención de primer nivel en el entorno rural.;Como centros en los que se desarrolla la atención especializada y por sus características, funciones de investigación y docencia.;d
La Ley 2/1998 define qué órganos ejercen las funciones de Autoridad Sanitaria. En el ámbito municipal, ¿quién ostenta esta condición?;El Delegado Provincial de la Consejería de Salud.;El Director del Centro de Salud del municipio.;El Alcalde.;El Presidente del Consejo de Salud de Zona.;c
Según el régimen sancionador de la Ley de Salud de Andalucía y la normativa básica estatal, el plazo de prescripción para las infracciones calificadas como muy graves es de:;Seis meses.;Un año.;Tres años.;Cinco años.;d
